image_name,class_id,confidence_score,x_min,y_min,x_max,y_max,image_width,image_height
image_0.jpg,80,1.0,42,182,138,193,200,200
image_0.jpg,54,1.0,38,62,142,161,200,200
image_0.jpg,40,1.0,111,0,185,137,200,200
image_1.jpg,104,1.0,86,198,166,198,200,200
image_1.jpg,77,1.0,148,175,181,183,200,200
image_2.jpg,85,1.0,114,168,139,180,200,200
image_3.jpg,72,1.0,114,6,127,61,200,200
image_3.jpg,58,1.0,164,173,168,175,200,200
image_3.jpg,106,1.0,166,32,191,163,200,200
image_4.jpg,30,1.0,86,18,158,84,200,200
image_4.jpg,26,1.0,102,139,170,171,200,200
image_4.jpg,2,1.0,118,178,123,180,200,200
image_5.jpg,85,1.0,58,121,194,156,200,200
image_5.jpg,42,1.0,81,60,91,131,200,200
image_6.jpg,90,1.0,43,126,113,198,200,200
image_6.jpg,90,1.0,158,153,196,198,200,200
image_7.jpg,13,1.0,113,189,145,191,200,200
image_8.jpg,79,1.0,0,196,36,198,200,200
image_8.jpg,48,1.0,191,157,195,160,200,200
image_8.jpg,9,1.0,122,188,162,193,200,200
image_9.jpg,30,1.0,108,19,159,159,200,200
image_9.jpg,31,1.0,70,71,195,181,200,200
image_10.jpg,11,1.0,116,94,134,96,200,200
image_10.jpg,92,1.0,138,39,198,95,200,200
image_11.jpg,10,1.0,95,123,175,170,200,200
image_12.jpg,24,1.0,5,125,142,168,200,200
image_12.jpg,46,1.0,87,0,137,105,200,200
image_12.jpg,78,1.0,33,25,117,82,200,200
image_13.jpg,70,1.0,20,41,172,85,200,200
image_13.jpg,66,1.0,39,62,44,122,200,200
image_13.jpg,47,1.0,13,94,38,192,200,200
image_14.jpg,45,1.0,136,29,164,190,200,200
image_14.jpg,50,1.0,89,4,188,107,200,200
image_15.jpg,37,1.0,55,77,140,183,200,200
image_15.jpg,38,1.0,57,14,96,17,200,200
image_15.jpg,28,1.0,52,135,118,139,200,200
image_16.jpg,86,1.0,78,191,131,198,200,200
image_16.jpg,100,1.0,159,85,188,179,200,200
image_17.jpg,99,1.0,149,124,162,138,200,200
image_18.jpg,2,1.0,6,169,100,193,200,200
image_18.jpg,3,1.0,113,135,159,199,200,200
image_19.jpg,18,1.0,48,142,117,147,200,200
image_19.jpg,6,1.0,168,163,196,193,200,200
image_20.jpg,56,1.0,141,174,163,179,200,200
image_21.jpg,40,1.0,96,32,184,132,200,200
image_22.jpg,87,1.0,61,154,78,180,200,200
image_22.jpg,46,1.0,114,199,133,199,200,200
image_23.jpg,78,1.0,74,114,148,185,200,200
image_23.jpg,75,1.0,21,97,197,188,200,200
image_23.jpg,50,1.0,50,50,145,53,200,200
image_24.jpg,97,1.0,43,190,148,196,200,200
image_25.jpg,52,1.0,66,81,165,154,200,200
image_25.jpg,92,1.0,141,126,193,160,200,200
image_26.jpg,54,1.0,56,150,168,183,200,200
image_26.jpg,37,1.0,95,63,183,193,200,200
image_27.jpg,4,1.0,103,60,147,179,200,200
image_27.jpg,80,1.0,169,6,172,153,200,200
image_28.jpg,56,1.0,90,64,92,156,200,200
image_29.jpg,79,1.0,1,51,45,88,200,200
image_30.jpg,18,1.0,53,4,157,51,200,200
image_31.jpg,83,1.0,131,159,157,180,200,200
image_31.jpg,32,1.0,124,107,148,196,200,200
image_31.jpg,77,1.0,188,4,199,83,200,200
image_32.jpg,32,1.0,82,155,91,177,200,200
image_33.jpg,92,1.0,71,101,71,136,200,200
image_33.jpg,30,1.0,52,176,163,184,200,200
image_34.jpg,105,1.0,121,94,164,102,200,200
image_34.jpg,71,1.0,97,28,165,174,200,200
image_34.jpg,71,1.0,20,16,30,52,200,200
image_35.jpg,66,1.0,174,121,186,180,200,200
image_36.jpg,30,1.0,139,159,169,181,200,200
image_37.jpg,72,1.0,147,167,185,198,200,200
image_37.jpg,68,1.0,30,89,56,100,200,200
image_37.jpg,54,1.0,42,104,152,124,200,200
image_38.jpg,28,1.0,129,143,180,198,200,200
image_39.jpg,72,1.0,126,31,187,63,200,200
image_39.jpg,12,1.0,79,150,154,171,200,200
image_40.jpg,106,1.0,185,149,196,164,200,200
image_40.jpg,66,1.0,87,149,139,165,200,200
image_40.jpg,64,1.0,150,154,161,177,200,200
image_41.jpg,99,1.0,91,140,119,156,200,200
image_42.jpg,8,1.0,160,95,188,181,200,200
image_42.jpg,60,1.0,43,5,145,57,200,200
image_42.jpg,85,1.0,102,29,173,73,200,200
image_43.jpg,60,1.0,189,59,198,183,200,200
image_43.jpg,106,1.0,51,177,167,177,200,200
image_44.jpg,78,1.0,33,67,42,182,200,200
image_44.jpg,79,1.0,103,172,199,199,200,200
image_45.jpg,31,1.0,51,67,92,97,200,200
image_45.jpg,90,1.0,191,23,193,46,200,200
image_46.jpg,68,1.0,47,103,175,119,200,200
image_47.jpg,8,1.0,163,1,172,174,200,200
image_48.jpg,0,1.0,66,99,161,120,200,200
image_48.jpg,58,1.0,169,97,185,161,200,200
image_49.jpg,26,1.0,143,119,179,172,200,200
image_49.jpg,35,1.0,26,176,59,177,200,200
image_49.jpg,14,1.0,155,28,164,124,200,200
image_50.jpg,15,1.0,119,86,187,148,200,200
image_50.jpg,15,1.0,179,151,194,190,200,200
image_50.jpg,104,1.0,183,139,189,169,200,200
image_51.jpg,12,1.0,128,72,135,102,200,200
image_52.jpg,67,1.0,86,0,122,124,200,200
image_52.jpg,3,1.0,128,90,198,197,200,200
image_52.jpg,5,1.0,16,14,142,58,200,200
image_53.jpg,95,1.0,128,140,154,172,200,200
image_53.jpg,89,1.0,36,62,36,156,200,200
image_53.jpg,36,1.0,146,9,196,29,200,200
image_54.jpg,69,1.0,197,65,198,91,200,200
image_54.jpg,39,1.0,152,8,174,139,200,200
image_55.jpg,65,1.0,198,103,199,184,200,200
image_56.jpg,106,1.0,141,172,172,177,200,200
image_56.jpg,46,1.0,111,123,111,175,200,200
image_56.jpg,16,1.0,197,179,198,193,200,200
image_57.jpg,79,1.0,91,27,100,104,200,200
image_57.jpg,99,1.0,40,68,83,147,200,200
image_57.jpg,54,1.0,106,77,129,77,200,200
image_58.jpg,36,1.0,59,101,100,190,200,200
image_58.jpg,47,1.0,116,186,150,189,200,200
image_58.jpg,30,1.0,85,83,125,99,200,200
image_59.jpg,81,1.0,65,184,115,190,200,200
image_59.jpg,66,1.0,175,160,182,184,200,200
image_59.jpg,59,1.0,184,139,184,182,200,200
image_60.jpg,37,1.0,160,199,194,199,200,200
image_60.jpg,91,1.0,9,61,115,115,200,200
image_61.jpg,55,1.0,54,30,137,121,200,200
image_62.jpg,65,1.0,64,147,182,187,200,200
image_63.jpg,93,1.0,154,118,177,191,200,200
image_63.jpg,100,1.0,165,78,188,133,200,200
image_64.jpg,61,1.0,111,16,137,33,200,200
image_65.jpg,30,1.0,109,196,148,199,200,200
image_66.jpg,72,1.0,37,107,101,188,200,200
image_66.jpg,53,1.0,94,120,134,147,200,200
image_67.jpg,21,1.0,81,55,150,93,200,200
image_68.jpg,75,1.0,116,41,151,99,200,200
image_68.jpg,61,1.0,21,167,189,188,200,200
image_69.jpg,56,1.0,82,122,157,153,200,200
image_69.jpg,22,1.0,67,92,90,185,200,200
image_69.jpg,99,1.0,117,145,187,174,200,200
image_70.jpg,67,1.0,1,101,76,135,200,200
image_70.jpg,21,1.0,40,49,179,142,200,200
image_70.jpg,90,1.0,11,31,24,80,200,200
image_71.jpg,31,1.0,14,13,150,14,200,200
image_71.jpg,15,1.0,54,129,78,157,200,200
image_71.jpg,28,1.0,110,195,147,199,200,200
image_72.jpg,106,1.0,165,182,195,197,200,200
image_72.jpg,18,1.0,27,91,65,92,200,200
image_72.jpg,38,1.0,63,16,88,187,200,200
image_73.jpg,77,1.0,81,77,165,132,200,200
image_73.jpg,94,1.0,20,17,72,41,200,200
image_73.jpg,67,1.0,123,181,144,183,200,200
image_74.jpg,38,1.0,35,140,103,173,200,200
image_75.jpg,54,1.0,1,52,43,117,200,200
image_76.jpg,35,1.0,11,93,155,125,200,200
image_76.jpg,90,1.0,158,35,177,119,200,200
image_76.jpg,78,1.0,172,196,198,197,200,200
image_77.jpg,41,1.0,150,113,193,156,200,200
image_77.jpg,18,1.0,24,145,186,148,200,200
image_78.jpg,2,1.0,186,177,196,186,200,200
image_78.jpg,51,1.0,24,42,72,137,200,200
image_79.jpg,93,1.0,112,23,180,156,200,200
image_79.jpg,89,1.0,88,155,119,178,200,200
image_80.jpg,81,1.0,166,5,199,148,200,200
image_81.jpg,12,1.0,97,102,108,160,200,200
image_81.jpg,64,1.0,82,149,107,191,200,200
